Time,X,Y,Theta,Linear Velocity,Angular Velocity
6.332999936,-1.9736721904,-0.4999994741,5.05089170984681E-05,0.0200052075,1.0321641639166E-05
6.365999872,-1.9730120197,-0.4999994564,5.08503820883589E-05,0.0200052094,1.03474440038553E-05
6.399999744,-1.9723318452,-0.499999438,5.12031013795178E-05,0.0200052094,1.0374135854363E-05
6.433000192,-1.9716716642,-0.4999994199,5.15463112332284E-05,0.0200052112,1.04001574072754E-05
6.466000128,-1.9710114935,-0.4999994018,5.18903779231649E-05,0.0200052112,1.04262835520785E-05
6.5,-1.970161316,-0.4999993782,5.21530907487882E-05,0.0250053164,7.72687690187013E-06
6.532999936,-1.9691711406,-0.4999993504,0.00005242,0.0300053731,8.08837467047852E-06
6.565999872,-1.9681809694,-0.4999993223,5.2809751046419E-05,0.0300052445,1.18104608191061E-05
6.600000256,-1.9671607793,-0.4999992931,5.32218742638974E-05,0.030005252,1.212113420479E-05
6.633000192,-1.9661706078,-0.4999992645,5.36240996420801E-05,0.0300052539,1.21886714623543E-05
6.666000128,-1.9651804363,-0.4999992356,0.000054028,0.0300052557,1.22400706459302E-05
6.7,-1.9641602613,-0.4999992056,0.000054446,0.0300052576,1.22921464935644E-05
6.732999936,-1.9631700896,-0.4999991761,5.48532678655161E-05,0.0300052594,1.23429108498385E-05
6.765999872,-1.9621799179,-0.4999991464,5.5262268288514E-05,0.0300052613,0.000012394
6.799999744,-1.9611597427,-0.4999991155,5.56854616886548E-05,0.0300052632,1.24469115689863E-05
6.833000192,-1.9601695556,-0.4999990852,5.6097921267182E-05,0.0300052632,1.24986054288456E-05
6.866000128,-1.9591793837,-0.4999990546,5.65120906650539E-05,0.030005265,1.25506121548824E-05
6.9,-1.9581592085,-0.4999990228,5.69406428769337E-05,0.0300052669,1.26045242723194E-05
6.932999936,-1.9571690365,-0.4999989916,5.73583287792279E-05,0.0300052688,1.26571731016156E-05
6.965999872,-1.95601386,-0.4999989549,5.76802132938396E-05,0.0350054167,9.7540951173869E-06
7.000000256,-1.9546536612,-0.4999989111,5.80506521721323E-05,0.0400053971,1.08951380752842E-05
7.033000192,-1.9533334884,-0.4999988682,5.85261090512903E-05,0.0400053114,1.44078121593338E-05
7.066000128,-1.9520133155,-0.4999988247,5.90123972983052E-05,0.0400053188,0.000014736
7.1,-1.9506531396,-0.4999987794,5.95170988320074E-05,0.0400053225,1.48442186400644E-05
7.132999936,-1.9493329665,-0.499998735,6.00099114830451E-05,0.0400053225,1.49337456605281E-05
7.165999872,-1.9480127933,-0.4999986901,6.05056658544297E-05,0.0400053263,1.50228888742276E-05
7.198999808,-1.94669262,-0.4999986447,6.1004475246244E-05,0.04000533,1.51154654304264E-05
7.233000192,-1.9453324232,-0.4999985974,6.15214869156297E-05,0.0400053337,1.52060538312071E-05
7.266000128,-1.9440122498,-0.499998551,6.20262993810199E-05,0.0400053337,1.52973771037068E-05
7.3,-1.9426520734,-0.4999985026,6.25496337298326E-05,0.0400053374,1.53922446770594E-05
7.333999872,-1.941291897,-0.4999984538,6.30761245445221E-05,0.0400053412,1.54850822582375E-05
7.365999872,-1.940011726,-0.4999984073,6.35746421355627E-05,0.0400053449,1.55786747200182E-05
7.400000256,-1.9386515289,-0.4999983574,6.41076288068782E-05,0.0400053449,1.56759015226271E-05
7.433000192,-1.937331355,-0.4999983084,6.46280719415903E-05,0.0400053486,0.000015771
7.466000128,-1.9360111809,-0.4999982589,6.51516788948247E-05,0.0400053523,1.58669081429252E-05
7.499000064,-1.9346910067,-0.4999982089,6.56785708001269E-05,0.0400053561,1.59664523380343E-05
7.532,-1.9333708323,-0.4999981583,6.62086773063991E-05,0.0400053598,1.60638646775624E-05
7.565999872,-1.9318406507,-0.499998099,6.66626209540678E-05,0.0450055115,1.33513340188074E-05
7.599999744,-1.9303104735,-0.4999980389,6.72454845992824E-05,0.0450053811,1.71431129274424E-05
7.631999744,-1.9287102961,-0.4999979754,6.77159351256186E-05,0.050005544,1.47015789480065E-05
7.666000128,-1.9270100929,-0.4999979069,0.000068346,0.0500054136,1.85318040166749E-05
7.7,-1.9253099149,-0.4999978376,6.89901312457662E-05,0.0500054248,1.89444144780282E-05
7.732999936,-1.923659739,-0.4999977695,6.96208917447481E-05,0.0500054285,0.000019114
7.765999872,-1.922009563,-0.4999977006,7.02567697458513E-05,0.0500054322,1.92690677067731E-05
7.800000256,-1.920309359,-0.4999976287,7.09173763979146E-05,0.0500054359,1.94293879758334E-05
7.833000192,-1.9186591826,-0.4999975581,7.15637320305103E-05,0.0500054397,1.9586572307162E-05
7.866000128,-1.9166789883,-0.499997472,7.19986374744655E-05,0.0600060076,0.000013179
7.9,-1.914468806,-0.4999973744,0.00007267,0.0650056079,1.97447570826625E-05
7.933999872,-1.9120886216,-0.4999972675,7.33872426856359E-05,0.0700056851,2.10967264138162E-05
7.965999872,-1.9096884386,-0.4999971578,7.41133558979308E-05,0.0750057176,0.000022691
7.999999744,-1.9071382581,-0.4999970391,7.5032854853948E-05,0.0750055909,2.70441887550987E-05
8.033000192,-1.9044980321,-0.499996914,7.58543387592224E-05,0.080005765,2.48931137321051E-05
8.066000128,-1.9018578515,-0.4999967866,7.68171036761798E-05,0.0800056309,2.91747510345886E-05
8.099000064,-1.8992176704,-0.4999966569,7.78027348608555E-05,0.0800056458,2.98676695820177E-05
8.132999936,-1.8964974883,-0.4999965209,7.8833184600524E-05,0.0800056532,3.03074593830388E-05
8.164999936,-1.894972226,-0.4999964438,7.91216833048457E-05,0.0476644486,9.01558451005258E-06
8.200000256,-1.8932805015,-0.4999963581,7.97614469267198E-05,0.0483345427,1.82787935045781E-05
8.233000192,-1.8907203672,-0.4999962225,8.09217972835967E-05,0.0775799751,3.51622002199292E-05
8.266000128,-1.887194931,-0.4999960307,8.2447149904692E-05,0.1068316102,4.62228963442612E-05
8.3,-1.8834547452,-0.4999958263,8.36985214567272E-05,0.1100058779,3.6805184208788E-05
8.332999936,-1.8796595533,-0.4999956138,8.50110969426235E-05,0.1150060371,3.9775091863703E-05
8.365000448,-1.8758192973,-0.4999953931,8.63681245638033E-05,0.120006077,4.24064346589148E-05
8.399999744,-1.8716191738,-0.4999951451,8.80421898754476E-05,0.1200059429,4.78313995699864E-05
8.433000192,-1.8674939153,-0.4999948952,8.95758211396833E-05,0.1250061393,0.000046473
8.465999616,-1.8632037863,-0.499994628,9.12037867920449E-05,0.1300061792,4.9333153583575E-05
8.499999488,-1.858783598,-0.4999943448,9.30782744434414E-05,0.1300060302,5.51321973034646E-05
8.532999936,-1.8544933401,-0.4999940625,0.000094951,0.1300060451,5.67499337194022E-05
8.566000384,-1.8502030819,-0.4999937725,9.68697831066003E-05,0.13000606,5.81427084398456E-05
8.600000256,-1.8457828924,-0.4999934655,0.000098801,0.13000606,5.68001705687493E-05
8.63299968,-1.8414927672,-0.4999931601,0.0001006747,0.13000606,5.67815404792782E-05
8.666000128,-1.8372025089,-0.499992847,0.0001025482,0.13000606,5.67699171369895E-05
8.7,-1.8327823196,-0.4999925162,0.0001044779,0.13000606,5.67575407330878E-05
8.733000448,-1.8284920612,-0.4999921875,0.0001063505,0.13000606,5.67452480026986E-05
8.765999872,-1.8242019364,-0.4999918513,0.0001082227,0.1300060451,5.67325769225135E-05
8.799999744,-1.8197817474,-0.4999914966,0.0001101511,0.1300060451,0.000056719
8.833000192,-1.8154914898,-0.4999911448,0.0001120224,0.1300060451,5.67053502891213E-05
8.865999616,-1.8112013653,-0.4999907853,0.0001138932,0.1300060451,5.66910784982611E-05
8.900000512,-1.8067810435,-0.4999904068,0.0001158202,0.1300060451,5.66757225897163E-05
8.932999936,-1.8024909188,-0.4999900318,0.00011769,0.1300060451,5.66601847822312E-05
8.966000384,-1.7982006614,-0.4999896493,0.0001195593,0.1300060302,0.000056644
9.000000256,-1.7937804732,-0.4999892469,0.0001214846,0.1300060302,5.66267481190152E-05
9.032000256,-1.7896202803,-0.499988861,0.0001232961,0.1300060302,5.66094167879783E-05
9.06499968,-1.7853301563,-0.4999884553,0.0001251635,0.1300060302,5.65915725019295E-05
9.098999552,-1.7809099679,-0.4999880291,0.000127087,0.1300060302,5.65727204957511E-05
9.133000448,-1.7764896462,-0.4999875951,0.0001290099,0.1300060302,0.000056554
9.165999872,-1.7721995222,-0.4999871663,0.0001308755,0.1300060302,0.000056535
9.19900032,-1.7679092648,-0.4999867297,0.0001327405,0.1300060302,5.65151058253832E-05
9.233000192,-1.7634890764,-0.4999862718,0.0001346614,0.1300060302,5.64955771551468E-05
9.265999616,-1.7591989524,-0.49998582,0.0001365251,0.1300060302,5.64758738619275E-05
