Time,X,Y,Theta,Linear Velocity,Angular Velocity
1.7,-1.6574211217,-0.5501141031,-0.0818870324,6.32615922313562E-07,0.000007521
1.732999936,-2.0551631982,-0.353732754,-0.0015158484,6.32615751783305E-07,0.000007521
1.766,-1.904081251,-0.3985056904,0.05481651,6.32615581253049E-07,0.000007521
1.8,-2.3322584234,-0.452213251,-0.0110055233,6.32615467566211E-07,0.000007521
1.832999936,-1.9982047002,-0.7929679589,0.0278065409,6.32615297035954E-07,0.000007521
1.866,-2.091974636,-0.6179750794,-0.1351643395,6.32615183349117E-07,0.000007521
1.904,-1.9465225505,-0.4240212112,0.0111011766,6.32615069662279E-07,0.000007521
1.932999936,-1.7887798135,-0.6290263762,0.1281165954,6.32614955975441E-07,0.000007521
1.965999872,-1.9986141951,-0.4742060488,0.0266059129,6.32614842288604E-07,0.000007521
2,-2.0728044119,-0.5215392208,-0.0342642944,6.32614728601766E-07,0.000007521
2.032999936,-2.1641001651,-0.1000288277,0.1378358831,6.32614614914928E-07,0.000007521
2.066000128,-1.8383819889,-0.5453146848,0.0785047995,6.3261450122809E-07,0.000007521
2.1,-1.787745559,-0.3031529318,-0.1139426852,6.32614444384672E-07,0.000007521
2.132,-2.141582915,-0.2551129121,-0.1340243363,6.32614330697834E-07,0.000007521
2.164999936,-1.8850833123,-0.2283471443,0.0593122849,6.32614273854415E-07,0.000007521
2.2,-1.5565442039,-0.3895911219,-0.0192550166,6.32614160167577E-07,0.000007521
2.232999936,-2.2416161752,-0.8484120179,0.0952601857,6.32614103324158E-07,0.000007521
2.264999936,-2.2804103724,-0.4143878389,-0.0180333292,6.3261404648074E-07,0.000007521
2.3,-2.1060933231,-0.7254792364,-0.1192164797,6.32613989637321E-07,0.000007521
2.332999936,-2.1157857459,-0.6725244602,-0.0341493705,6.32613932793902E-07,0.000007521
2.364999936,-1.9821406481,-0.3411854307,-0.0290524245,6.32613875950483E-07,0.000007521
2.4,-2.1876575084,-0.4810472705,-0.0783171084,6.32613819107064E-07,0.000007521
2.432999936,-2.1885233588,-0.7013043851,-0.1115809617,6.32613762263645E-07,0.000007521
2.466000128,-2.1828487901,-0.324701707,-0.0093285379,6.32613705420226E-07,0.000007521
2.5,-2.1133278821,-0.1317543381,0.2049834647,6.32613705420226E-07,0.000007521
2.532999936,-2.002539869,-0.2322246794,0.0035148874,6.32613648576807E-07,0.000007521
2.565999872,-2.3522977367,-0.3806861434,-0.1140928578,6.32613591733389E-07,0.000007521
2.6,-1.9169956035,-0.4175879318,-0.1305690357,6.3261353488997E-07,0.000007521
2.632999936,-2.1787546618,-0.5900003375,0.0807727462,6.3261353488997E-07,0.000007521
2.666000128,-1.7745978027,-0.4316468991,0.0394442676,6.32613478046551E-07,0.000007521
2.7,-1.7086078808,-0.3443114461,0.0837677539,6.32613478046551E-07,0.000007521
2.732999936,-2.203748504,-0.2270455883,-0.095688232,6.32613421203132E-07,0.000007521
2.765999872,-2.192925314,-0.4688018213,0.1711798001,6.32613364359713E-07,0.000007521
2.8,-2.1237666844,-0.5001944777,0.0248655445,6.32613364359713E-07,0.000007521
2.832999936,-2.0950509954,-0.462137747,-0.0039024764,6.32613307516294E-07,0.000007521
2.866000128,-2.0589324399,-0.7148325629,-0.090839274,6.32613307516294E-07,0.000007521
2.9,-2.2905243474,-0.5901948156,-0.0903134509,6.32613250672875E-07,0.000007521
2.932999936,-2.1247264687,-0.4407219062,0.0167540641,6.32613250672875E-07,0.000007521
2.965999872,-2.4127990268,-0.3124385807,-0.0930691568,6.32613250672875E-07,0.000007521
3,-2.3400372903,-0.3349518369,-0.058286412,6.32613193829457E-07,0.000007521
3.032999936,-2.0639149399,-0.7043279324,0.0668933854,6.32613193829457E-07,0.000007521
3.066000128,-2.0776700416,-0.6503953918,-0.0918561655,6.32613193829457E-07,0.000007521
3.1,-2.0192220729,-0.3405967176,0.19516237,6.32613136986038E-07,0.000007521
3.132999936,-2.0296034232,-0.2399675457,-0.0325518491,6.32613136986038E-07,0.000007521
3.165999872,-1.7913504783,-0.2285047934,-0.0111546112,6.32613080142619E-07,0.000007521
3.2,-2.2626504403,-0.4538755799,-0.0913058273,6.32613080142619E-07,0.000007521
3.232999936,-1.8958349455,-0.1067392958,-0.0374126565,6.32613080142619E-07,0.000007521
3.266000128,-2.1362030106,-0.6266615266,-0.0078457636,6.32613080142619E-07,0.000007521
3.3,-2.0144121972,-0.4840512819,-0.0284882258,6.326130232992E-07,0.000007521
3.332999936,-1.7713766083,-0.4958025742,-0.1562082546,6.326130232992E-07,0.000007521
3.365999872,-1.8439109139,-0.7226024576,-0.1358793983,6.326130232992E-07,0.000007521
3.4,-2.2063025168,-0.3067721021,0.0737361707,6.32612966455781E-07,0.000007521
3.432999936,-2.2436607978,-0.3445860219,0.0439843048,6.32612966455781E-07,0.000007521
3.466000128,-2.0796035685,-0.4958577686,-0.0346733241,6.32612966455781E-07,0.000007521
3.5,-2.1722728398,-0.175780739,0.0194121446,6.32612966455781E-07,0.000007521
3.532,-2.201506818,-0.6024774536,0.1581577861,6.32612966455781E-07,0.000007521
3.565999872,-2.2582826794,-0.3633559338,0.0238907753,6.32612909612362E-07,0.000007521
3.6,-1.8544503007,-0.630266838,0.0476678599,6.32612909612362E-07,0.000007521
3.632999936,-1.8426992074,-0.6378456208,0.0158573156,6.32612909612362E-07,0.000007521
3.666000128,-2.1829349321,-0.3800338613,-0.0816056921,6.32612909612362E-07,0.000007521
3.7,-1.8107292037,-0.565458737,-0.1580666721,6.32612852768943E-07,0.000007521
3.732999936,-1.8510343618,-0.7580850633,-0.0234922585,6.32612852768943E-07,0.000007521
3.765999872,-1.9723232916,-0.2248296306,0.0590243115,6.32612852768943E-07,0.000007521
3.8,-1.8981970231,-0.6025328752,-0.0573509577,6.32612852768943E-07,0.000007521
3.832999936,-2.0574958525,-0.3406008931,-0.0238466376,6.32612852768943E-07,0.000007521
3.866000128,-2.077015263,-0.3200091168,0.0596126913,6.32612852768943E-07,0.000007521
3.899000064,-2.0734163349,-0.512904308,-0.1373559743,6.32612795925525E-07,0.000007521
3.932999936,-1.8615144897,-0.2443136452,-0.0704165047,6.32612795925525E-07,0.000007521
3.965999872,-1.6818532478,-0.1621531472,-0.0175342931,6.32612795925525E-07,0.000007521
4,-1.7423284763,-0.7176046654,0.1199031637,6.32612795925525E-07,0.000007521
4.032999936,-1.9556186347,-0.4620249725,0.0603054958,6.32612795925525E-07,0.000007521
4.066000128,-1.9274972349,-0.6210507699,0.0328166497,6.32612739082106E-07,0.000007521
4.1,-2.2854688362,-0.2878019053,0.0394926599,6.32612739082106E-07,0.000007521
4.132999936,-2.2855591946,-0.507916247,0.2601638792,6.32612739082106E-07,0.000007521
4.165999872,-2.0130446255,-0.2061469934,0.2097981512,6.32612739082106E-07,0.000007521
4.200000256,-2.0488683548,-0.2770695858,-0.0587421054,6.32612739082106E-07,0.000007521
4.233000192,-2.2239553675,-0.5309805956,0.0702810276,6.32612739082106E-07,0.000007521
4.266000128,-1.6273572581,-0.5432024821,-0.0152274806,6.32612739082106E-07,0.000007521
4.299000064,-2.0381680607,-0.5879215072,0.2091237314,6.32612682238687E-07,0.000007521
4.332999936,-1.7857327676,-0.4393258697,-0.0590892297,6.32612682238687E-07,0.000007521
4.365999872,-2.1212184408,-0.0687958256,-0.0705043498,6.32612682238687E-07,0.000007521
4.399999744,-2.2612571987,-0.6874556202,-0.229995268,6.32612682238687E-07,0.000007521
4.435000064,-2.2463532556,-0.7503845909,0.1136555025,0.0050052716,3.98146721636294E-06
4.466000128,-2.085372959,-0.5532489029,0.0517912349,0.0100052785,4.38183451478835E-06
4.5,-2.0165247957,-0.9170665193,0.0817113245,0.0100051509,8.02564045443432E-06
4.532999936,-2.242288465,-0.5662216946,-0.073319839,0.0100051565,0.000008271
4.565999872,-2.4249925772,-0.5275495801,-0.0075405101,0.0100051565,8.2975138866459E-06
4.600000256,-2.0626590741,-0.389252026,-0.1317900434,0.0100051574,0.000008308
4.633000192,-2.0064581523,-0.1387232273,-0.227198808,0.0100051574,0.000008317
4.666000128,-2.3057865021,-0.5496893029,-0.0202683323,0.0100051574,8.32586283650016E-06
4.7,-1.934508421,-0.6481516729,-0.035106688,0.0100051574,8.33505055197747E-06
4.732999936,-2.4469805468,-0.775646908,0.0244124989,0.0100051584,0.000008344
4.765999872,-1.7309539266,-0.3307591964,-0.123174806,0.0100051584,8.35293667478254E-06
4.798999808,-2.1345505863,-0.4928531767,-0.1036657434,0.0100051584,8.36217805044726E-06
4.833000192,-1.9257693887,-0.3154416483,0.0754216915,0.0100051584,8.37116476759547E-06
4.866000128,-2.0977417195,-0.6652493701,-0.2006661643,0.0100051584,8.38016876514303E-06
4.9,-2.0793529716,-0.1870200784,-0.1882776406,0.0100051593,8.38946380099515E-06
4.932999936,-2.020395079,-0.7309221291,-0.0062687057,0.0100051593,8.39850235934136E-06
4.963000064,-1.9438019546,-0.0110709403,0.0741231055,0.0100051593,8.40755910758162E-06
5.000000256,-2.1639902087,-0.2292219074,0.0195770322,0.0100051593,8.41690871311585E-06
5.033000192,-2.0604018053,-0.5656697823,-0.0009441341,0.0100051602,0.000008426
5.066000128,-1.866457081,-0.6556661116,-0.0648111737,0.0100051602,8.43511043058243E-06
5.1,-1.8414437592,-0.7151208125,0.1795838656,0.0100051602,8.44451460579876E-06
5.132999936,-1.653876457,-0.5332852297,-0.1442306341,0.0100051602,8.45365957502509E-06
5.163000064,-2.1980206254,-0.198335716,-0.0814968936,0.0100051612,8.46282273414545E-06
5.198999808,-1.9689312543,-0.8315038887,-0.0405448304,0.0100051612,8.47228238853859E-06
5.233000192,-2.4210489553,-0.6419365549,-0.0307865174,0.0100051612,8.48148101795232E-06
5.266000128,-1.8004519707,-0.1215103607,-0.0956888492,0.0100051612,8.49069874675479E-06
5.3,-1.7339946628,-0.4525175189,0.036729813,0.0100051621,8.50021297083003E-06
5.332999936,-2.1582637437,-0.423655824,-0.0058353495,0.0100051621,8.50946616992587E-06
5.365999872,-1.845595334,-0.4585674751,0.0711197437,0.0100051621,8.51873755891575E-06
5.400000256,-2.1110708163,-0.4016775412,0.1136677284,0.0100051621,8.5283081716625E-06
5.433000192,-2.2589759418,-0.6760000505,0.1586953009,0.010005163,8.53761594044045E-06
5.466000128,-1.9886993661,-0.7317460796,0.1862044244,0.010005163,8.54694189911243E-06
5.5,-2.1185693542,-0.5834736183,-0.1384291997,0.010005163,8.55656981002539E-06
5.532999936,-2.093946775,-0.3995133365,-0.3161915747,0.010005164,8.56593214848544E-06
5.565999872,-2.3529956245,0.0913799523,0.0765334768,0.010005164,8.57531267683953E-06
5.599999744,-2.0547539557,-1.0213842273,0.0826059276,0.010005164,0.000008585
5.633000192,-1.9056439632,-0.4064777444,0.0449026234,0.0150053045,5.4296433518175E-06
5.666000128,-1.7931129305,-0.3455843777,0.0679608166,0.0200053155,5.90337458561407E-06
5.7,-2.2424214082,-0.3152911171,-0.0272920607,0.020005187,9.58918280957732E-06
5.732999936,-1.8280602712,-0.5460962326,0.0574702893,0.0200051945,9.85070255410392E-06
5.765999872,-1.7895082999,-0.4242371997,0.0484308021,0.0200051945,9.89243835647358E-06
5.801000192,-1.913016103,-0.5960838634,0.0790662271,0.0200051963,9.9186117950012E-06
5.833000192,-1.9299792535,-0.2972130948,-0.1033126838,0.0200051963,9.94291258393787E-06
5.867000064,-1.9736587371,-0.4774860742,-0.0437585281,0.0200051963,9.96722428681096E-06
5.9,-2.027565384,-0.7356613641,0.0013642062,0.0200051982,9.99236635834677E-06
5.932999936,-1.7770785131,-0.2615663862,-0.1003423495,0.0200051982,1.00168654171284E-05
5.965999872,-2.0916964138,-0.7219029579,-0.075703428,0.0200052001,1.00414617918432E-05
5.999999744,-1.8370703555,-0.7392352322,0.0915760091,0.0200052001,1.00669049061253E-05
6.033000192,-2.0421716824,-0.7854118842,-0.1044021607,0.0200052001,1.00916986411903E-05
6.066000128,-2.1353951295,-0.3727636633,0.0341776804,0.0200052019,1.01165896921884E-05
6.1,-2.149641972,-0.6559543472,-0.0601410347,0.0200052019,1.01423383966903E-05
6.132999936,-2.0790022084,-0.0186932916,0.1776888652,0.0200052038,1.01674304460175E-05
6.165999872,-1.6859503856,-0.7262893851,-0.1546771751,0.0200052038,1.01926207207725E-05
6.200000256,-1.9727781706,-0.7510967082,0.0494404309,0.0200052056,1.02186795629677E-05
6.233000192,-1.9852973109,-0.4105031887,0.1057524621,0.0200052056,1.02440735645359E-05
6.267000064,-1.8163189666,-0.4318602249,-0.0886091791,0.0200052056,1.02695676105213E-05
6.3,-2.2208534324,-0.1741285454,-0.1156669684,0.0200052075,1.02959411378833E-05
6.332999936,-1.9792785692,-0.7412299294,-0.0336884882,0.0200052075,1.0321641639166E-05
6.365999872,-1.6720905293,-0.4200303718,-0.0949848835,0.0200052094,1.03474440038553E-05
6.399999744,-1.9266595597,-0.5772170742,0.0285702781,0.0200052094,1.0374135854363E-05
6.433000192,-2.0678744075,-0.5218524922,0.1119208955,0.0200052112,1.04001574072754E-05
6.466000128,-1.7975552956,-0.5791193699,0.0050591698,0.0200052112,1.04262835520785E-05
