Time,LM_1_Range,LM_1_Bearing,LM_2_Range,LM_2_Bearing,LM_3_Range,LM_3_Bearing,LM_4_Range,LM_4_Bearing
1.7,3.1416738538,1.3834115325,0.5306611969,1.1281501514,3.2387458676,0.1721536609,nan,nan
1.732999936,3.3409812258,1.3772047509,0.7945426149,0.6353068137,3.2550711788,0.0810396668,nan,nan
1.766,2.9058136142,1.2293242213,0.8506042615,0.7393307698,3.3345319267,0.1326085914,nan,nan
1.8,2.781094606,1.6082914344,0.6634182146,0.7449908281,3.3088516518,0.2067528106,nan,nan
1.832999936,2.7600185779,1.3188061461,0.7223550061,0.6773276385,nan,nan,nan,nan
1.866,3.1728196998,1.2671912323,0.8610538445,0.9609652466,3.4595605739,0.1670324357,nan,nan
1.904,3.270040991,1.573575526,0.7869377629,0.6910394433,3.4967370156,0.1609707955,nan,nan
1.932999936,3.045428302,1.5515694335,0.8367691914,0.686941938,nan,nan,nan,nan
1.965999872,3.2632624779,1.4271292672,0.4980168195,0.618583158,nan,nan,nan,nan
2,2.9248885886,1.2373881112,0.9719461954,0.7455765095,3.2813721651,0.1252362405,nan,nan
2.032999936,3.0442166941,1.2356779371,0.4909713365,0.7862916793,3.3256073704,0.1922464331,nan,nan
2.066000128,2.817131894,1.5040699804,0.897001182,0.6771741561,3.4643165166,0.1938458082,nan,nan
2.1,2.850692693,1.3950652945,1.0861955718,0.7935160723,nan,nan,nan,nan
2.132,3.0217019849,1.4682669105,0.6863313072,0.5813124336,nan,nan,nan,nan
2.164999936,3.2277707235,1.2906211919,0.6119732715,0.9807231225,nan,nan,nan,nan
2.2,2.9556010235,1.5446309499,1.0658277708,0.7738426616,nan,nan,nan,nan
2.232999936,2.8780156259,1.3032175743,0.7185384224,0.7715600928,3.366084409,0.1813362487,nan,nan
2.264999936,3.0656169762,1.3701118152,0.8504699499,0.8764489942,nan,nan,nan,nan
2.3,2.805517894,1.4349223715,0.6949755721,0.8789366852,nan,nan,nan,nan
2.332999936,3.004934108,1.5231758669,0.6912756261,0.7165192328,nan,nan,nan,nan
2.364999936,2.8676139107,1.4038955867,1.0190127214,0.7880937898,3.4950037182,-0.035390771,nan,nan
2.4,2.9963786816,1.3150191057,0.6048500949,0.9026405421,nan,nan,nan,nan
2.432999936,2.5271537174,1.2543842427,0.8297045096,0.9015545691,nan,nan,nan,nan
2.466000128,3.2273529199,1.5030201796,0.9105545124,0.7452131247,3.4362539378,0.1235047617,nan,nan
2.5,3.1774441906,1.3604618072,0.8252370766,0.6699356988,nan,nan,nan,nan
2.532999936,2.9975995466,1.6490840508,0.3522033769,0.8249745531,nan,nan,nan,nan
2.565999872,3.1102178658,1.6097308973,0.8204397544,0.7083913563,nan,nan,nan,nan
2.6,2.9707749629,1.4615769543,0.6802354984,0.6440395852,3.215194306,0.2054052263,nan,nan
2.632999936,2.9637819219,1.4523459069,0.9452349376,0.6904923466,3.4412853449,0.1495541288,nan,nan
2.666000128,3.2073275748,1.3430237371,0.252313244,0.6703500522,3.3569921899,0.1979407802,nan,nan
2.7,3.2570692408,1.3825988745,0.6920310936,0.9544755041,3.3748693617,0.1415557718,nan,nan
2.732999936,2.917690503,1.5188329075,0.6203379603,0.861300978,3.4120148334,0.1892865315,nan,nan
2.765999872,3.4216883934,1.5056109077,0.4548927283,0.8043128171,nan,nan,nan,nan
2.8,3.2021319236,1.4428406628,0.5397136341,0.7756309048,nan,nan,nan,nan
2.832999936,3.1688736547,1.5276007482,0.5000681335,0.7319986911,3.3861644585,0.1093020209,nan,nan
2.866000128,3.0729666104,1.3971706582,0.6001974348,0.8308240371,3.3770678265,-0.1021709933,nan,nan
2.9,2.6554533994,1.5077896995,0.7299803155,0.6059615657,3.3638149171,0.0733051506,nan,nan
2.932999936,3.2145819545,1.3593185312,1.0034133557,0.6851352565,3.38224784,0.1738713144,nan,nan
2.965999872,2.8186802837,1.4227796389,0.7896058756,1.0566610558,nan,nan,nan,nan
3,3.1108818916,1.5194392616,0.6913592523,0.7809401218,3.3385029573,0.2639636982,nan,nan
3.032999936,3.0804413987,1.4445503492,0.5937711714,0.8922964499,nan,nan,nan,nan
3.066000128,2.9529177067,1.4356794361,0.7204496241,0.9204947908,nan,nan,nan,nan
3.1,2.9442979647,1.3447403625,0.9632175914,0.870991751,3.438650922,0.1773627926,nan,nan
3.132999936,3.1898258621,1.4904861088,0.3755432931,0.8838262675,nan,nan,nan,nan
3.165999872,3.1657091891,1.394246565,0.6704489767,0.8415229524,3.4505936352,-0.0739225396,nan,nan
3.2,2.9997284715,1.327976162,0.864389578,0.8889193911,3.0660165673,0.0285731339,nan,nan
3.232999936,3.14722062,1.5140057155,0.7276866085,0.8289527887,nan,nan,nan,nan
3.266000128,3.0414648913,1.5004986803,0.7074070395,0.8651980299,3.358045299,0.1039706846,nan,nan
3.3,2.9234614094,1.4006187359,0.9178811565,0.6422428429,3.4454602129,0.0804551782,nan,nan
3.332999936,3.082424188,1.2813740779,0.4329523994,0.8070482047,nan,nan,nan,nan
3.365999872,2.8025608756,1.5198038137,0.8826820806,0.7374919109,3.2681754943,0.3042555757,nan,nan
3.4,3.107790967,1.2553593858,0.9148335098,0.9802913724,3.4323507014,0.2287996308,nan,nan
3.432999936,3.2029064187,1.3707089549,0.7596451676,0.685687695,nan,nan,nan,nan
3.466000128,2.820516629,1.4276129814,0.8344870936,0.7603046801,3.3279665199,0.0828104914,nan,nan
3.5,2.8739438365,1.3262256975,0.4576204502,0.7910672436,nan,nan,nan,nan
3.532,2.9987060496,1.321684385,0.267203387,0.743975575,nan,nan,nan,nan
3.565999872,3.3246194805,1.220747213,0.8381595366,0.6939459623,nan,nan,nan,nan
3.6,3.0990033473,1.3917935592,0.9178254099,0.7140962212,nan,nan,nan,nan
3.632999936,nan,nan,0.6389885987,0.9958536232,nan,nan,nan,nan
3.666000128,3.2793973044,1.4601883713,0.6514893888,0.7915368213,3.3922552425,0.0145762198,nan,nan
3.7,2.6797533722,1.4822446479,0.6234780971,0.7693669965,3.4834816908,0.1088588555,nan,nan
3.732999936,3.3522144743,1.377835545,0.7316170351,1.0418537639,nan,nan,nan,nan
3.765999872,2.9659758263,1.4474361789,0.5704550694,1.022537164,nan,nan,nan,nan
3.8,3.1035194944,1.4195074358,0.9463411313,0.6833628691,nan,nan,nan,nan
3.832999936,3.2456072004,1.6060500246,0.6948857139,0.8345696011,nan,nan,nan,nan
3.866000128,2.6951940056,1.4766659006,0.5805618918,0.6406438456,nan,nan,nan,nan
3.899000064,3.2463093582,1.4697959051,0.695850124,0.9278104295,nan,nan,nan,nan
3.932999936,3.075660793,1.3968503494,0.8877663661,0.7441830257,nan,nan,nan,nan
3.965999872,2.9017847339,1.4450589814,0.9287319628,0.9784571545,3.4032913577,0.0720921026,nan,nan
4,3.0359857253,1.4696864085,0.747764129,0.7599232692,nan,nan,nan,nan
4.032999936,3.0343949721,1.4429112572,0.8146816469,0.9013384047,nan,nan,nan,nan
4.066000128,3.2411520538,1.524724059,0.8257871831,0.7473133689,3.4780138297,0.0579092442,nan,nan
4.1,2.8405918088,1.508319282,0.9702185066,0.7307628372,nan,nan,nan,nan
4.132999936,3.0016184169,1.4309485362,0.8731004642,0.8598614767,nan,nan,nan,nan
4.165999872,3.2207071141,1.4371778537,0.8835830659,0.7059502932,nan,nan,nan,nan
4.200000256,2.9806821927,1.4912196341,0.6916759114,0.7460433902,3.4699389094,0.0124024835,nan,nan
4.233000192,3.1363222966,1.5362724161,0.8225455516,0.9296170706,nan,nan,nan,nan
4.266000128,2.9992543249,1.4653577585,0.8243146148,0.7668162039,nan,nan,nan,nan
4.299000064,2.9103936274,1.5108990132,0.5762114293,0.617688505,nan,nan,nan,nan
4.332999936,2.8105205115,1.2785064295,0.9433897068,0.9020969039,nan,nan,nan,nan
4.365999872,3.1128081248,1.3588339267,0.1791342895,0.7988070387,nan,nan,nan,nan
4.399999744,3.0049791226,1.3473990851,0.4946726214,0.7591259089,nan,nan,nan,nan
4.435000064,2.6580518405,1.4870078414,0.5465767825,0.8346937957,nan,nan,nan,nan
4.466000128,3.2258302691,1.4321517611,0.6986244041,0.813234455,nan,nan,nan,nan
4.5,3.2807311741,1.4656597685,0.2717706926,0.7909196211,nan,nan,nan,nan
4.532999936,3.0396063351,1.3400989427,0.6091069188,0.7330154376,3.4914065514,0.2681828811,nan,nan
4.565999872,3.1454520809,1.4793564698,0.3372593349,0.8724043634,nan,nan,nan,nan
4.600000256,2.9752932265,1.5174067267,0.9404300092,0.8920783761,3.2250602617,0.1791618829,nan,nan
4.633000192,3.3538617365,1.6474446798,0.9699621272,0.7956208401,nan,nan,nan,nan
4.666000128,3.1918604794,1.3906947886,0.6213862572,0.6729571348,nan,nan,nan,nan
4.7,2.9506075596,1.5051333169,0.910080364,0.603332744,3.4464351511,0.034592645,nan,nan
4.732999936,2.9059766961,1.46857876,0.5492887705,0.8455946081,3.2912604076,0.1365657765,nan,nan
4.765999872,2.9105291205,1.3314878892,0.7484420752,0.7887959475,3.3384730207,0.1963770359,nan,nan
4.798999808,3.1748636687,1.5043663987,0.6717563103,0.8344051526,3.3652511125,0.1643789383,nan,nan
4.833000192,3.3749096856,1.5635101477,0.4921004095,0.775969494,3.4335534337,0.1794819443,nan,nan
