Time,Range,Bearing,Range,Bearing,Range,Bearing,Range,Bearing
2.132,0.7567541215,-2.344473944,4.060265672,-0.1534008123,nan,nan,3.1002799823,1.6952366773
2.164999936,1.1259561875,-2.5598133489,nan,nan,nan,nan,2.7328862403,1.6607504335
2.2,0.5140078337,-2.3766072797,4.3441277189,-0.2526556085,nan,nan,3.1467049377,1.5373614289
2.232999936,0.2015008386,-2.5021236947,nan,nan,nan,nan,3.0493042048,1.712623451
2.264999936,0.613870061,-2.2189709608,4.388087814,-0.0828097873,nan,nan,2.8446823634,1.7719036852
2.3,0.6633413957,-2.467803342,nan,nan,nan,nan,3.0777594407,1.6847380027
2.332999936,0.7506982276,-2.4418016531,nan,nan,nan,nan,3.2116703086,1.7005352743
2.364999936,0.8487488885,-2.3479428349,nan,nan,nan,nan,3.2219645037,1.5897270395
2.4,1.2489396148,-2.3604062147,4.0960481098,-0.0296933338,nan,nan,3.1872853648,1.5350222088
2.432999936,0.7819909159,-2.3450583929,4.4875894563,-0.0192210716,nan,nan,3.3572422961,1.8564954282
2.466000128,0.5004233539,-2.2626510359,4.1202387555,-0.021166142,nan,nan,3.6709305298,1.7468363979
2.5,0.8648028623,-2.3446871151,4.4240091197,-0.0266728556,nan,nan,3.3016514851,1.6629388756
2.532999936,0.5314641253,-2.3687819651,nan,nan,nan,nan,3.0242657795,1.6967006701
2.565999872,1.110490456,-2.4792966771,nan,nan,nan,nan,3.025282516,1.7957388631
2.6,0.8970248904,-2.4409590142,nan,nan,nan,nan,3.6463877986,1.853698841
2.632999936,0.9132213915,-2.2589868917,4.4290333889,-0.1091089186,nan,nan,2.8909514302,1.6577180817
2.666000128,0.2426758871,-2.3334361618,nan,nan,nan,nan,3.1599499341,1.6897389612
2.7,0.307718853,-2.5859333076,4.1352342589,-0.1659253166,nan,nan,2.7734832901,1.7478140197
2.732999936,0.7754843581,-2.3747052792,nan,nan,nan,nan,2.7697808186,1.7544302699
2.765999872,0.4178007486,-2.2371477741,4.2694237521,-0.0557042209,nan,nan,2.8958957348,1.5898532102
2.8,0.451283452,-2.4380475907,4.4214705117,-0.2143589792,nan,nan,2.5009378511,1.6268512808
2.832999936,0.7279894948,-2.50157295,nan,nan,nan,nan,2.8568002703,1.8036235669
2.866000128,0.9616792001,-2.3972943808,nan,nan,nan,nan,2.9384677749,1.6254245569
2.9,0.6896413666,-2.4411573835,4.2529994595,-0.0430994349,nan,nan,2.8604790796,1.8201732776
2.932999936,0.9724465565,-2.465512062,4.3799607323,0.0517721976,nan,nan,3.016463593,1.8523887579
2.965999872,0.659114987,-2.4155974548,4.4546442003,-0.0941562109,nan,nan,2.8588342825,1.7912625947
3,1.02362069,-2.2258077863,nan,nan,nan,nan,2.4274792895,1.7221573728
3.032999936,0.222750205,-2.4349033724,4.000576174,-0.1181855506,nan,nan,2.9424971805,1.6790044618
3.066000128,1.1282439831,-2.2763905123,4.4355827063,-0.0903279363,nan,nan,2.9354557694,1.7330071638
3.1,0.2555200807,-2.2868975699,4.1445260749,-0.1860035086,nan,nan,3.1041562685,1.5947617297
3.132999936,0.93009346,-2.3941175074,nan,nan,nan,nan,2.9504317728,1.6977413369
3.165999872,0.9756018048,-2.3116650304,nan,nan,nan,nan,3.0022585891,1.7559066354
3.2,0.5487872132,-2.2675476519,4.0404431517,-0.0537528429,nan,nan,3.4360297624,1.6950318257
3.232999936,0.1439173194,-2.2079030722,nan,nan,nan,nan,3.2578660873,1.6703029126
3.266000128,1.5078024281,-2.35264711,nan,nan,nan,nan,2.7316855817,1.7240115012
3.3,0.6722204433,-2.470187209,nan,nan,nan,nan,3.0812404979,1.7538522774
3.332999936,0.5684026345,-2.3531302132,nan,nan,nan,nan,3.2000509109,1.9526742887
3.365999872,0.7851715256,-2.3612548764,4.2419530103,-0.0929546742,nan,nan,3.0746688706,1.781298649
3.4,0.7752467119,-2.2375616267,nan,nan,nan,nan,3.1676708919,1.8985940839
3.432999936,0.7270376625,-2.3228187034,nan,nan,nan,nan,3.0923835564,1.6874516101
3.466000128,0.6440642607,-2.4446594764,nan,nan,nan,nan,3.1955270238,1.8551134909
3.5,0.7914220544,-2.4010239078,4.2921162528,-0.0347899238,nan,nan,3.0339322132,1.7778202871
3.532,0.8052057198,-2.3743927726,3.7697632724,-0.2115372007,nan,nan,3.088349834,1.8578915233
3.565999872,0.4375594214,-2.3196686739,nan,nan,nan,nan,2.563293281,1.7570233776
3.6,0.4288869794,-2.3755720397,nan,nan,nan,nan,3.0823431911,1.7381490335
3.632999936,0.8906960579,-2.286329132,4.4620374332,-0.1344306404,nan,nan,2.8325789781,1.6434644509
3.666000128,0.6542673391,-2.2233312289,nan,nan,nan,nan,2.9808929745,1.5607520834
3.7,0.1418872279,-2.4765868141,nan,nan,nan,nan,3.6056280673,1.7380117191
3.732999936,0.8501017919,-2.3002973193,nan,nan,nan,nan,3.0135392409,1.8189840181
3.765999872,0.9320101185,-2.2178079613,nan,nan,nan,nan,3.1813444522,1.5969990726
3.8,0.4405678244,-2.4535656484,nan,nan,nan,nan,2.8934017992,1.986866496
3.832999936,0.493037631,-2.4242820474,nan,nan,nan,nan,3.8593022304,1.6734266126
3.866000128,0.2952589429,-2.3471816968,nan,nan,nan,nan,3.4397790843,1.5806926327
3.899000064,1.0381415396,-2.4619362655,nan,nan,nan,nan,2.4288515219,1.6811745952
3.932999936,0.8471436324,-2.530598392,nan,nan,nan,nan,3.2209453207,1.6475136482
3.965999872,0.9228255833,-2.2695942834,nan,nan,nan,nan,3.4947545399,1.5720019588
4,0.5221799484,-2.3238948409,4.0122589014,-0.1736722346,nan,nan,3.0803020098,1.7164963497
4.032999936,0.5745072248,-2.4200719841,nan,nan,nan,nan,3.0046838332,1.7325368898
4.066000128,0.5952303531,-2.3683457727,nan,nan,nan,nan,3.469914818,1.8339527154
4.1,1.3084479636,-2.4578663274,nan,nan,nan,nan,2.5876334536,1.5589789254
4.132999936,1.2386428343,-2.2440263669,nan,nan,nan,nan,2.6126086857,1.7211231775
4.165999872,0.7833042854,-2.3361614213,nan,nan,nan,nan,3.2029382451,1.6697650641
4.200000256,0.3946166766,-2.061673371,4.4182588211,0.0102690697,nan,nan,2.9781242803,1.9115894659
4.233000192,1.2430512142,-2.5823254152,nan,nan,nan,nan,2.9394499249,1.6090668938
4.266000128,0.5250468197,-2.4608754712,nan,nan,nan,nan,3.3862721571,1.7332198455
4.299000064,0.3583694605,-2.3435989672,4.1884549907,-0.0840995852,nan,nan,3.0574298201,1.7999630513
4.332999936,0.5282921036,-2.4393824261,4.0750090792,-0.1820412204,nan,nan,2.8502579857,1.7622805948
4.365999872,1.0791746971,-2.4633593694,4.3915290823,-0.1362338822,nan,nan,3.034974438,1.7445986476
4.399999744,0.6631941075,-2.2640628607,nan,nan,nan,nan,3.7289485586,1.8218550258
4.435000064,0.7702817507,-2.2059419359,3.9980530651,-0.0226548581,nan,nan,2.8730822685,1.8373123892
4.466000128,0.513051154,-2.4937851156,4.2280520711,-0.208616045,nan,nan,2.8139157455,1.6407030903
4.5,0.6466633343,-2.2091297096,nan,nan,nan,nan,3.2228719609,1.6913161794
4.532999936,0.5170751717,-2.4417487088,4.3620284523,0.0015930544,nan,nan,3.2916576962,1.8211739717
4.565999872,0.5046513459,-2.4103201063,nan,nan,nan,nan,3.3148006151,1.8018052354
4.600000256,0.3931793935,-2.1235571785,nan,nan,nan,nan,3.0788870194,1.6313507316
4.633000192,0.7801570219,-2.3836778686,nan,nan,nan,nan,3.1481246374,1.7510077898
4.666000128,0.335503139,-2.3449439124,nan,nan,nan,nan,2.8179316576,1.6663278527
4.7,0.4628895433,-2.4971061981,4.4106416599,-0.1076180591,nan,nan,3.1221148642,1.701862174
4.732999936,1.023475279,-2.316090372,4.3180460601,-0.1007224306,nan,nan,3.3313896174,1.5298062321
4.765999872,0.5694426547,-2.3706699344,4.0801429337,-0.0621304336,nan,nan,2.9232258151,1.6656903407
4.798999808,0.6221521033,-2.466089462,4.172131804,-0.0623069645,nan,nan,2.9582055977,1.6741067557
4.833000192,0.6512698211,-2.3555028019,4.0445594683,0.0097308434,nan,nan,3.2574976704,1.7643058434
4.866000128,0.3926778806,-2.5243774565,4.3464233205,-0.0147372971,nan,nan,3.1332020401,1.7309554767
4.9,1.1171795582,-2.4493173968,nan,nan,nan,nan,2.9600386775,1.7644008501
4.932999936,0.6897049658,-2.2150311069,nan,nan,nan,nan,2.831785389,1.616932689
4.963000064,0.4475648415,-2.2745239938,nan,nan,nan,nan,2.9841947814,1.7777734815
5.000000256,0.8786690966,-2.436388543,4.4424652616,0.0419071221,nan,nan,2.7415375959,1.7100746007
5.033000192,0.5801219887,-2.427584933,4.1982399879,-0.1155618093,nan,nan,3.5164233702,1.8920886746
5.066000128,0.651036878,-2.4732392607,nan,nan,nan,nan,3.480056189,1.7881430661
5.1,0.7556482012,-2.3542437955,nan,nan,nan,nan,2.4849864566,1.7879042582
5.132999936,0.4226167983,-2.4638312969,4.0585750554,-0.105334986,nan,nan,2.850179879,1.6481255165
5.163000064,0.4185192524,-2.3772327739,nan,nan,nan,nan,3.1636469771,1.7838631281
5.198999808,0.750513317,-2.3613523736,4.4619063709,-0.1801572187,nan,nan,2.5229211221,1.4638794361
