Time,Range,Bearing,Range,Bearing,Range,Bearing,Range,Bearing
15.965999872,2.2266212164,-2.9511013431,2.8203804377,-0.2007713261,3.9124968829,0.733709204,4.069476719,2.201002884
15.999999744,2.3940165034,-2.7673866039,2.3340680426,-0.2951303176,3.7533636719,0.8435536521,3.0623889004,2.1390196312
16.033000192,2.3110958718,-2.8354459403,2.2193743295,-0.0883746794,3.5142049645,0.7532687494,3.6602023658,2.1913344224
16.065999616,2.4342755802,-3.1837189965,3.1562247455,-0.2980463886,4.4617657451,0.7896680357,3.9734918719,2.1791894462
16.100000512,2.4504794887,-2.7401455096,2.8111166714,-0.068104292,3.8872129681,0.6898056104,3.536857683,2.1644441368
16.132999936,2.4916088754,-2.8771233673,2.9440902664,-0.1172768789,4.40789196,0.6632882354,3.6974145563,2.0564936174
16.166000384,2.3615826976,-3.0305588722,3.3837220439,-0.221290415,3.4978654774,0.5853376682,3.7855867292,2.316948657
16.200000256,2.8207525123,-3.000051183,2.4118525387,-0.3787817463,4.0739395242,0.7578518732,4.0346889399,2.3299311851
16.23299968,2.3791635709,-3.0650394405,2.8560698014,-0.203227341,3.7815303538,0.8243243551,3.7356971677,2.1943287128
16.266000128,2.8035073828,-2.9838172559,3.1977686832,-0.037744129,3.7615712339,0.8140912525,3.5773906857,2.2821074732
16.3,2.2565274612,-3.0656611146,2.7492204319,-0.2793837402,3.6796850742,0.8541968231,3.9225604999,2.2834473892
16.333000448,2.5445076472,-2.8552454769,3.1469499362,-0.1466745186,3.8013925538,0.8650587412,3.5992027433,2.3244101808
16.365999872,2.5725106244,-2.78057014,2.9987143048,-0.0842436582,4.0620742126,0.8660179314,4.1123734272,2.1312763117
16.397999872,2.5070052349,-3.0328199773,2.707132551,-0.199154431,3.9651272693,0.7287101108,3.8121697293,2.0704368885
16.433000192,1.9181027878,-3.0998450745,2.2843329039,-0.4125848298,4.1055039853,0.8004703045,3.5658546131,2.0996407138
16.465999616,2.8738946901,-2.8483471957,2.4075406874,-0.2036558922,4.1988691916,0.8885020162,3.5944244358,2.2036961641
16.499999488,2.1248437688,-2.8134817391,3.0548483336,-0.1888846095,3.5254887698,0.9228607783,4.1072531348,2.3748319611
16.532999936,2.0891449206,-2.9295382152,2.6454403617,-0.2196263352,4.4231337584,0.9378180713,4.0177698285,2.2186944235
16.566000384,2.84110385,-2.9589289511,2.617834649,-0.3224748075,4.0252606302,0.7902981516,3.4736803285,2.2533674841
16.600000256,2.2794375235,-2.9620967369,2.4797776604,-0.2993195908,3.9473705527,0.7321531708,3.5859222108,2.152069889
16.63299968,1.8641705399,-2.8954556547,2.9595275985,-0.1847716595,nan,nan,3.9664361308,2.3395191667
16.66499968,2.4268311056,-2.8757310693,2.9597336388,-0.149229609,4.2598836222,0.8311320899,3.5440033978,2.2479169346
16.7,2.7463870522,-3.0587686228,2.8626654711,-0.1684826935,4.0382756619,0.840880899,3.8511317861,2.3808984541
16.733000448,2.0659076776,-2.8576171587,2.3285568227,-0.3662989345,4.3796590117,1.0918158785,3.321656613,2.2477578185
16.765999872,2.4773096517,-2.9464417513,3.187266182,-0.0023340935,3.7589518129,0.9314826009,3.8994749598,2.1933530564
16.799999744,2.5761033579,-2.8182011675,2.9628397524,-0.01518708,4.1271766407,0.8479381074,3.702204408,2.2702111596
16.833000192,2.2631699924,-2.8768209447,3.0718086732,-0.113623397,4.0765635194,0.7271080573,4.0688514683,2.139341869
16.865999616,2.5584267699,-2.96853031,2.5203299752,-0.1429145942,3.8024232174,0.5976028916,4.3781329767,2.1761628555
16.899000064,2.540356521,-2.7915645739,2.4311666574,-0.0998351398,3.9458679787,0.7907211914,nan,nan
16.932999936,2.3540452251,-2.7073995129,2.8557212055,-0.0894681154,3.7060247356,1.0276546595,3.5601496028,2.3029859508
16.96599936,2.8307078251,-2.9536492368,3.2244012551,-0.5086003304,3.5095505419,0.8523924154,4.0281550766,2.2906229254
16.999000832,2.4508530031,-2.9314414902,2.5166943997,-0.156144398,3.5763073186,1.0036045796,4.0312791866,2.1230816231
17.035000576,2.5224596915,-3.0723537087,2.2914889892,-0.134164664,4.0699751729,0.7119503263,3.8134635208,2.3984921963
17.065999104,2.4415825892,-2.8508672729,2.5911563207,-0.060506507,4.0549901432,0.8594582381,3.5822988226,2.2607574377
17.10300032,3.0099321601,-2.9757376538,2.5756866388,-0.1117014013,4.3601876902,0.8281682403,4.0506263988,2.1581083474
17.132,2.6631402123,-3.1036110228,2.5396049091,-0.0089982548,4.1793228711,0.9187931783,3.9395917783,2.350860483
17.166000896,2.4518229112,-3.0366710009,2.2962363447,-0.0821841876,4.098647763,0.9828973478,4.1986007505,2.3929433315
17.199999744,2.9589441955,-3.0272691489,2.0274754329,-0.1530660943,3.786740462,0.8178212118,3.597490051,2.3132492887
17.232999168,2.665290103,-2.9647157252,2.3818074111,-0.1683649098,4.0258905163,0.9740159,3.4461884187,2.2843027312
17.26600064,2.0831978203,-2.8857827049,2.9882241266,-0.0553624357,3.7533527841,0.952345058,4.086956834,2.2040350331
17.299999488,2.6499983656,-2.9933817711,2.5470355928,-0.2829457392,4.26160394,1.0928064734,4.2555727139,2.1031704204
17.33300096,3.1390568713,-2.8396343192,2.7039451566,-0.1637169579,3.9082799209,0.9311933572,4.0325544132,2.3526501922
17.366000384,2.8554769222,-2.879525122,2.7935280253,-0.2489552961,4.1625208856,0.8605572755,3.874809806,2.4185366118
17.399999232,2.1852130382,-3.0837746094,2.1068975813,-0.2239481213,3.7366341577,0.8343430312,4.1882118823,2.4004277424
17.433000704,3.0351455904,-3.0966221335,2.2675014659,-0.2294777026,3.6247037436,0.8605302838,3.9130674295,2.3789244028
17.466000128,2.5233472785,-2.9092602578,2.0023274185,-0.2513511506,3.9855686521,0.8661538612,nan,nan
17.499998976,2.8499840926,-2.908334105,2.9063374775,-0.1577329352,3.6936274675,0.7820583221,4.0378628846,2.1635489575
17.533000448,3.2570479295,-2.9670007036,2.5254952225,-0.4410684356,3.8217405841,0.7770569451,4.0284966016,2.2867532765
17.565999872,2.547754849,-2.9360631742,2.1386046469,-0.1418397842,3.8199754499,0.882204212,4.0458769321,2.1765313338
17.600000768,2.3196421334,-2.9256474576,2.5034355323,-0.2228517656,3.8561194694,1.0042919024,3.6741552666,2.0748928326
17.633000192,2.6211198892,-3.0253166618,2.6604115102,-0.3117973475,3.601362854,0.9702371586,4.2296159908,2.342551496
17.665999616,2.9442205495,-2.7661832881,1.9059836326,-0.2891100837,3.887344231,0.8493997807,4.0506045526,2.3710732997
17.700000512,2.8893317454,-2.9062957802,2.6170289599,-0.0854847738,3.9869004611,0.9007385119,4.1181647071,2.2858492465
17.732999936,2.3811226283,-2.9078568968,2.9423061506,-0.0528503652,3.9317672623,1.0394543827,3.6467831633,2.3613893995
17.76599936,2.4452545695,-2.9603364575,2.6512931184,-0.1149763036,3.0662493115,0.990970304,4.0842454364,2.3166580913
17.800000256,2.4394175977,-2.8888242638,2.4151403306,-0.0107376988,3.7154465391,1.047583317,nan,nan
17.83299968,3.2367321917,-2.899596338,2.6673314729,-0.2819293014,3.419365622,0.9660404284,3.5181956626,2.3434820399
17.865999104,2.7641691275,-3.010945756,2.2839325016,-0.2658687713,3.9109774186,0.9409560022,nan,nan
17.9,2.9959267555,-2.9697317858,2.6321638176,-0.1317822047,3.8967290482,0.976139795,4.0033622195,2.381583483
17.932999424,2.8074563384,-2.9205576286,2.1535999835,-0.1544096546,3.8858140726,0.8900485472,4.43167817,2.3527716784
17.966000896,2.5731694951,-3.0485537956,1.8135909611,-0.1628688863,3.9440817616,0.947020714,3.775531831,2.2825669466
17.999999744,2.6973736718,-2.9137765016,2.2654316109,-0.3095875892,3.4507001396,0.9495642539,3.8604318335,2.4006957007
18.032999168,2.6270294495,-2.9076147067,2.3328237056,-0.2305250426,3.811543388,1.0411721688,4.0967067271,2.3668219441
18.06600064,2.8755303534,-3.0558714204,2.3437153421,-0.268100291,3.4597689661,1.0138995759,3.9188472858,2.2959549636
18.099999488,2.752273043,-3.1731031653,2.7637970502,-0.2326488003,3.8083170931,1.0651560001,3.8905799029,2.0852802503
18.13300096,2.6476432103,-2.8362328219,2.0375196908,-0.1980844648,3.4611879072,0.7517358524,3.912072414,2.3066143143
18.166000384,3.2846264726,-2.9129298396,2.1250688211,-0.2450749576,4.0524544602,0.9301444416,4.4069704226,2.3173538926
18.199999232,2.9314753765,-3.0058121441,2.1368464098,-0.12587858,3.9522561656,0.8046385454,4.368049875,2.3983906125
18.233000704,2.6383948661,-3.0837245618,2.5093526334,-0.2284590225,3.7698407879,0.9809673812,3.9773772002,2.3902474025
18.266000128,2.7548466802,-3.0756700843,3.3075162479,-0.3358885418,3.550724275,1.05583141,3.8188275047,2.2143784983
18.300001024,2.9217259552,-2.8896065548,2.1802220687,-0.1362151929,4.3561511366,0.8173761383,3.9375201834,2.518963615
18.333000448,3.2913607937,-3.0116852816,2.3458751993,-0.1457652281,4.1972028547,0.9196106928,4.0830356083,2.158652632
18.365999872,2.9832059368,-2.8809063944,2.5044464666,-0.1407985574,3.7225729094,0.8189961356,4.3722520843,2.2971690922
18.400000768,2.4195866464,-2.8759560439,1.9047484446,-0.2688901142,3.8147147542,0.9415920122,3.7403757316,2.1102732997
18.432000768,2.9501947464,-2.8796325203,2.1433256371,-0.1591857608,3.8423246112,0.8959835419,4.2636927056,2.3794982172
18.465999616,2.3843287541,-3.1073282872,1.9484411787,-0.2315295393,3.8218351231,0.9468329762,4.3089662151,2.191857987
18.500000512,3.3095565849,-2.9396997254,2.8224891696,-0.2439991624,4.3603018138,0.8824206547,4.2509979493,2.307691596
18.532999936,2.7099127901,-2.9895831187,2.1681917438,-0.1864491283,3.3833876322,0.9784476224,4.1661833139,2.3243319753
18.56599936,3.1043707265,-2.7841290012,2.355033649,-0.3271779937,4.0509016848,0.7689994127,3.8101798131,2.1503638748
18.600000256,3.1044589353,-2.8966539308,1.9647234773,-0.1849512796,3.6550349914,0.8328902126,4.1289428263,2.3667784695
18.63299968,3.0041698647,-2.8558687508,2.3505929011,-0.3776777202,3.996213549,1.0401591311,3.8993370478,2.3284215034
18.665999104,3.1100402748,-3.0162859992,2.3761376539,0.0372732291,3.7618541321,0.8218645037,3.4617703802,2.4319356075
18.7,2.549366624,-2.9632742901,1.8811468621,-0.3506545515,3.434807189,1.031092628,nan,nan
18.732999424,2.6336809391,-3.1138824867,1.8992920804,-0.3742632582,3.3586990269,0.9622945982,3.7655334675,2.3824718553
18.766000896,3.1144986807,-2.8640087203,2.0923321853,-0.3828260781,3.802391535,1.0068994861,3.7396841762,2.0800829207
18.799999744,3.3757930761,-2.9369386012,2.2464424142,-0.2277595244,3.2408418643,0.900369549,3.972004141,2.2233092662
18.832999168,2.5072566784,-3.1230302024,2.334288287,-0.3583847199,3.1329311503,1.0307716251,nan,nan
18.86600064,3.4042769759,-2.9711540361,2.310159368,-0.2062564986,4.0342422965,0.8864245135,3.8574954743,2.2826878801
18.899999488,3.1063269371,-2.9312978949,2.4556165873,-0.1434187075,3.598160247,0.8359110094,4.206846868,2.516176924
18.93300096,3.0285288914,-2.9670518922,1.8094918154,-0.3051578822,3.8570819329,0.813158967,4.0864457181,2.4181154653
18.966000384,3.3912395241,-2.9546428592,2.3788036271,-0.2622809939,3.8894009786,1.007909179,4.3594795084,2.3993418445
18.999999232,2.5997850987,-2.8878934342,1.7532717337,-0.0793961059,3.9585836741,1.02811855,4.4839242963,2.4016331414
19.033000704,2.9353002915,-3.0830673927,2.4285215314,-0.2196805811,3.636169649,0.8774891277,4.1914325061,2.3697222267
19.066000128,3.3125577166,-2.9201089246,1.9033145215,-0.172876708,3.789411943,1.0995430149,4.2296738777,2.3450607983
19.099998976,3.0909560392,-2.900813024,2.3725731734,-0.410323175,3.4943516446,0.8416418974,3.9069741546,2.4397743385
19.133000448,2.9170514852,-2.9219702251,1.8065636874,-0.1866706787,3.7482480247,0.9553448867,4.1050694134,2.4332929872
19.165999872,3.2905831714,-2.8371045123,2.6442245977,-0.3266902023,3.5996745082,1.0074877056,4.0379110287,2.1466274668
19.200000768,2.6090717691,-2.9321966583,2.2684463904,-0.2450333627,4.0015310517,0.9634720562,4.2161663673,2.3203219234
19.233000192,3.0864443332,-3.0473839116,1.8266790881,-0.3878017485,3.5267449465,0.8821416483,4.2988222142,2.4805998402
19.265000192,3.2832780016,-3.1098622137,1.4104529852,-0.2161043438,3.0184639899,0.904179563,4.4083025098,2.380551777
19.300000512,3.7170114276,-3.0570327917,1.9492569722,-0.3535429622,3.327425518,0.9989581705,4.0849569077,2.3006242238
19.332999936,3.0676518964,-2.998774845,2.0252776649,-0.154069141,3.718339053,1.0495045233,4.3878783205,2.2328980985
19.36599936,3.073430864,-2.867223411,1.8000032626,-0.1805284888,3.7513272825,0.9585656983,3.9438764919,2.4839572738
19.400000256,3.4502754449,-2.7365446365,1.6523615839,-0.3831313384,3.8305845358,1.0085573834,3.8337689416,2.1713237405
19.43299968,3.2859035193,-2.8966820244,1.9440166337,0.0089893705,2.895669554,0.7933953622,4.2246188007,2.4184905911
19.465999104,2.9606118957,-3.1242636882,1.8338240734,-0.1571855086,3.8046359918,1.157524564,4.0759441476,2.3509072923
19.5,3.4183669083,-3.0692046883,2.2539097267,-0.2876936841,3.5245608572,0.9383993437,4.4979654251,2.4069959432
19.532999424,2.9679486754,-2.9840309074,1.9479612366,-0.3510832654,3.6168086894,1.0713865272,nan,nan
19.566000896,3.4163886433,-2.9114081535,2.0927200131,-0.0817818701,3.3170534403,1.0525360598,nan,nan
19.599999744,3.2274380903,-3.1550919471,1.9749343113,-0.2004072328,4.0268224852,0.9805251697,4.4439367424,2.4447064828
19.63400064,3.3950335575,-2.8789242248,1.7957817448,-0.2167268935,3.3994439322,1.13876662,nan,nan
19.66600064,3.4550781712,-2.9459052968,2.0667463452,-0.2650704736,3.4016010919,1.1498845336,4.1396486189,2.4077793204
19.699000064,3.7653571444,-2.9018570447,2.3029554485,-0.2744285719,3.4798015419,1.0483169703,nan,nan
19.73300096,3.6378576663,-3.0110969857,1.7542500384,-0.2692852221,3.5225924546,1.1812506149,4.3586507984,2.4834887949
19.766000384,3.120245128,-3.0626066061,1.7439684955,-0.472038323,3.3880152774,0.9095036668,4.494293918,2.3958577238
19.799999232,3.2293285001,-2.9928501046,1.7435541849,-0.4543948733,3.3050687225,0.940881887,4.0329210883,2.2013537393
19.831999232,3.1965159475,-3.0692727165,2.5654058264,0.0764501608,3.3247977749,1.1956919793,nan,nan
19.866000128,2.8026944212,-2.8710270772,1.6294545356,-0.1948168043,3.5531738572,1.0658949073,4.158486063,2.3070240282
19.900001024,3.4541041855,-3.0121620638,1.9008803804,-0.2111753574,3.2683211106,0.8980060798,4.3276630461,2.2728198179
19.933000448,3.1415120921,-3.0755685768,2.3005227962,-0.2237871364,3.9819702545,0.9687978051,nan,nan
19.965000448,3.903942443,-2.9031257365,1.9968648503,-0.489977313,2.7887098749,1.2096345523,nan,nan
20.000000768,2.8875973778,-2.9011909067,1.6854495693,-0.2736759506,3.6242360885,1.2250384026,4.3815728596,2.4388103952
20.030999296,3.3332794754,-3.0556621918,1.5855594677,-0.3159335655,2.8265945202,1.0337048834,nan,nan
20.065999616,3.9291384702,-3.0059533318,1.7689759882,-0.0803166745,3.7851184859,0.9713345211,nan,nan
20.09899904,3.4829956332,-2.9303843996,1.8200387255,-0.3973960312,3.7200320364,0.9555346668,nan,nan
20.132999936,3.2284313123,-2.9915308467,2.1751523613,-0.3521490579,3.4902919977,1.0030369929,3.859217057,2.1624059999
20.16599936,3.6522428817,-2.9644082491,1.8787219572,-0.1791802707,2.7642769826,1.087739874,4.1054308976,2.4723508678
20.200000256,3.5113144744,-3.1777187576,2.0602593915,-0.3529151171,3.8973240389,0.9652163798,nan,nan
20.23299968,3.5105968186,-3.087392777,2.023443525,-0.3002004636,3.1998277323,1.1768367731,4.4396088193,2.280462916
20.26499968,2.8106042609,-3.0494306447,1.7804228879,-0.2254681788,3.956737309,1.0158654912,nan,nan
20.3,3.4034589237,-3.0600845694,1.511019945,-0.3673077895,3.4839443248,0.9842281921,nan,nan
20.332999424,3.1226050412,-3.1787610699,2.0410359875,-0.2592472162,3.8452816196,0.9336838752,nan,nan
20.366000896,3.3227626167,-3.068732136,0.9778825646,-0.2499121822,3.6002980296,1.0743168441,4.2859690976,2.5802080535
20.399999744,2.8381895627,-3.0868569176,1.680353416,-0.3709941583,3.120066409,0.892193415,nan,nan
20.435000064,3.4388441233,-3.0087877776,2.0870911411,-0.15775167,3.7619273219,0.9923967406,nan,nan
20.46600064,3.5599583302,-3.1387280014,0.9102929314,-0.2612472715,3.6756623082,0.9424520889,nan,nan
20.499999488,3.2983830002,-2.9572477785,1.3566013117,-0.2363710785,3.1500545579,1.1514866882,nan,nan
20.53300096,3.4597250736,-2.8699400458,1.4277183435,-0.3683882633,3.4919680398,0.8637744492,4.4556871325,2.404466885
20.566000384,3.5909416103,-2.9893539685,1.4870160582,-0.3748017545,3.6887313791,0.9881182624,nan,nan
20.599999232,3.4722043449,-3.0911738579,1.5406873831,-0.145787483,3.4145418006,1.147485222,nan,nan
20.633000704,2.8983511494,-2.9498074536,1.8524188849,-0.4430465292,3.0743993044,1.0603699079,nan,nan
20.666000128,3.533095643,-2.8977112942,1.4369283886,-0.331818563,3.3475509894,1.1545930437,4.4916621246,2.3627122727
20.699998976,3.4901529192,-2.8887426771,1.7800054561,-0.2953297047,4.1946288457,1.1905769917,3.8783503445,2.2052721704
20.733000448,3.1306598198,-2.8556473938,1.9667353229,-0.1980404233,2.9087230894,1.0595154385,4.0252989044,2.4994200515
20.765999872,3.4567838444,-3.0756837457,1.4892288537,-0.364454815,3.3300798701,1.2594545058,nan,nan
20.800000768,2.9853027611,-3.1044380564,1.6573125614,-0.1675067808,3.254307692,1.0286819176,nan,nan
20.833000192,3.123930524,-3.0200857227,1.2207744988,-0.31974189,3.2197449469,1.0009326178,4.1092257762,2.4271731917
20.865999616,3.5419139223,-3.0621208731,1.8098513387,-0.1212322461,3.1382559754,1.1675470528,nan,nan
20.900000512,3.2377533966,-2.943339106,1.6395015307,-0.3790266774,3.7037967393,1.0975912297,nan,nan
20.932999936,3.6344497865,-3.0732308302,2.1460469477,-0.3190701697,3.5748945455,1.0095407353,4.2031339595,2.4012195557
20.968000256,3.1382507607,-2.9276573861,0.9247066627,-0.3040644928,3.3983586771,1.1071690393,nan,nan
21.000000256,3.4311153269,-3.0128282702,1.8128391264,-0.3493570651,2.8881110169,1.0513895827,nan,nan
21.03299968,3.4916423711,-3.0384602089,1.6881097586,-0.5290867184,3.4193744427,1.0222562738,nan,nan
21.07100032,3.6553962751,-3.0653382889,1.4692659412,-0.3145464102,3.9022250378,0.9778305288,nan,nan
21.097999104,3.7792185297,-3.0609507994,1.645165764,-0.4244321792,3.9931424948,1.1617556031,4.2637681565,2.3860197976
21.132999424,3.8445837258,-3.0088808529,1.1709134875,-0.3085817694,2.9972240948,1.2300411457,4.4485990645,2.5009207159
21.166000896,3.5669871049,-3.1572268343,1.562316684,-0.4391633932,3.5663085809,1.0233545529,nan,nan
21.19900032,4.150344222,-2.9723572845,1.3914158371,-0.1641296195,3.5353956219,1.1522147396,nan,nan
21.231999744,3.4184903402,-2.8507574131,1.5722950827,-0.2922113042,3.4937196329,0.9217495214,nan,nan
21.26600064,3.3903252044,-3.0278607458,1.1350855999,-0.2946801617,2.9182522559,1.1900616537,nan,nan
21.299999488,3.5129093715,-3.0361040288,1.2487405798,-0.3897464687,3.6429102283,0.9766656533,nan,nan
21.33300096,4.1466310073,-2.9296650111,1.6883985489,-0.3532777531,3.2841483963,1.0037013293,4.4442426189,2.4464130526
21.366000384,3.7128313379,-2.9204451004,1.7442180301,-0.3835038833,3.2434725809,1.1863416343,nan,nan
21.399999232,3.8893583561,-2.9612500704,1.8299274548,-0.2936828979,3.0692448879,1.0664095328,4.3101776461,2.3112856219
21.433000704,3.6871773244,-2.9162324532,1.0911842437,-0.2900843986,3.2447424541,1.3429159416,nan,nan
21.466000128,3.4031671427,-2.9335181037,1.5739027329,-0.4794271628,3.7862853611,1.1341784815,nan,nan
21.500001024,3.7879287368,-2.7722657847,1.2289375622,-0.491905074,3.4791176892,1.1203157032,4.2974698092,2.3959482322
21.533000448,3.8255222228,-3.0926296829,1.5616567329,-0.3737176395,3.9563604162,1.1369460168,nan,nan
21.565999872,3.8863468392,-3.0457832431,0.5854206803,-0.3229068749,3.2009607999,1.2697475158,nan,nan
21.600000768,3.6250624816,-3.093537953,1.0790768045,-0.4437397321,3.3706952825,1.1593090058,nan,nan
21.633000192,3.8583567874,-3.1752980508,0.6730133184,-0.2779195268,3.4206347631,0.91133411,nan,nan
21.665999616,3.9629701454,-2.9821036148,1.2845240699,-0.5441600708,3.246741361,1.1531694471,4.4614449767,2.4457416983
21.700000512,3.4504381427,-2.8896405602,1.0306363349,-0.4657230286,3.6168929738,1.2389135345,nan,nan
21.732000512,3.3711118287,-3.2150160804,1.4907367224,-0.4888243398,3.3058812127,1.1083682607,4.4083313724,2.2831637588
21.76599936,3.8628345777,-2.9579251102,1.6661404157,-0.4117851188,2.808704041,1.1393996505,nan,nan
21.800000256,3.3620943125,-3.0158235438,1.4724997231,-0.4241919817,3.3014754699,1.1695488119,3.8709288915,2.5340529598
21.83299968,4.0017087998,-3.160037296,1.0175344675,-0.531963857,3.3653498773,1.1026444099,4.4750693568,2.3953204397
21.865999104,3.9130771152,-3.1436032848,1.3114569124,-0.5996111965,3.1280300559,1.1876840071,4.2868368028,2.388141491
21.9,3.5554542941,-3.042810514,1.3138480843,-0.5441316841,3.2086259784,1.0464843045,nan,nan
21.932999424,3.540050887,-2.9271093507,1.3015429043,-0.3723486868,3.3791002401,1.0131667294,nan,nan
21.966000896,3.560750672,-3.0261563144,1.2343803478,-0.5673925218,3.1511438293,1.1135902314,nan,nan
21.999999744,3.8474402314,-3.14853889,1.1810648429,-0.3562078022,3.2780958267,0.9268098641,4.4091493079,2.2284569895
22.031999744,3.7404110472,-3.0869256,1.987594886,-0.3661787902,3.7168087059,0.9646094168,nan,nan
22.06600064,3.0894544713,-3.0084979675,1.2065376915,-0.3499354149,3.0318288789,0.9694038083,nan,nan
22.102000384,3.751627738,-3.2496167682,1.3713418542,-0.5273501138,3.1595464679,1.0710542271,nan,nan
22.131999488,3.717607732,-3.1825954474,1.6076760374,-0.5118994648,3.4032222429,1.0179774679,nan,nan
22.166000384,3.7118020886,-3.1313286139,1.5560663779,-0.4657347876,2.6073180143,0.9996877904,nan,nan
22.199999232,3.5499813174,-3.1436046244,1.3450857713,-0.7582949887,2.9430191014,0.9817351789,nan,nan
22.233000704,3.5636373285,-3.1712456959,1.213467527,-0.6622313472,2.7836333271,0.9521674847,nan,nan
22.266000128,4.2083894323,-3.1392988541,1.5614631515,-0.5872109283,3.1404562435,1.0305927202,nan,nan
22.299998976,3.7735096934,-3.1562938901,1.6351447955,-0.4286580481,3.4843657913,1.1112818806,nan,nan
22.333000448,3.9137476276,-3.1909166404,1.1279583584,-0.571270177,3.3811923781,0.8334201245,nan,nan
22.365999872,3.5563442585,-3.3315322567,1.8213123349,-0.5755264813,3.5329749521,1.1255871987,nan,nan
22.400000768,3.63650549,-3.2600357197,1.352925022,-0.6044612916,2.8228589513,1.0640873872,nan,nan
22.433000192,3.5841760414,-3.1717386812,0.9158605948,-0.6122481667,2.8095860788,0.8838382254,nan,nan
22.465999616,3.6681992777,-3.1056265463,1.0597806357,-0.6529758558,2.7896462561,0.8772713953,nan,nan
22.500000512,3.280649625,-3.1712285072,1.3332781444,-0.7635503487,3.0844609103,1.0949273106,nan,nan
22.53099904,4.0623046978,-3.18349346,1.2033429692,-0.7609517806,2.7425978784,0.9437295898,nan,nan
22.56599936,4.3807452342,-3.1452579759,0.9356538206,-0.6868791655,3.3824025092,0.8650566302,nan,nan
22.600000256,4.0572606816,-3.3674130107,1.3554094359,-0.6392885501,3.2290024015,1.0209234553,4.240145882,2.1929204379
22.63299968,3.5159690984,-3.3490839316,1.5612681994,-0.7845011027,2.9310011634,1.0341167374,nan,nan
22.665999104,4.1269928643,-3.4189725118,1.5738176845,-0.6297996275,3.408019963,1.0777626134,nan,nan
22.7,3.4989953416,-3.1843135443,1.5262381246,-0.7031490572,2.8506022394,0.9509726573,nan,nan
22.732999424,4.0826718486,-3.3754633731,0.9125514113,-0.9637391144,2.8572615828,0.7225832127,nan,nan
22.766000896,3.962737695,-3.4614994443,1.5342193215,-0.7463637896,3.0177178537,1.0466862277,nan,nan
22.799999744,3.497590066,-3.2978776663,1.1432740841,-0.9099043482,2.9269603384,0.9153854734,nan,nan
22.831999744,4.4661582743,-3.543473234,1.5353150715,-0.6244916506,3.5497639422,0.7845363831,nan,nan
22.86600064,3.7831765662,-3.4494578724,1.0318114257,-0.8001997619,2.8738624429,0.8377869282,4.3758160773,2.2431878236
22.899999488,3.6103772764,-3.292824832,1.3123100422,-0.7935362227,3.69190699,0.8707772453,nan,nan
22.93300096,3.8995973275,-3.489559928,1.2901742722,-0.765238168,3.495716936,0.9072484862,nan,nan
22.966000384,3.9232213277,-3.5527230583,1.8677222683,-0.8741944461,3.3157337539,0.6458508754,nan,nan
22.999999232,3.9457154213,-3.3512707931,1.3136753747,-0.8922784911,3.075314535,0.7813588294,nan,nan
23.033000704,nan,nan,0.8736727364,-0.9376585883,2.8873631392,0.7433203261,nan,nan
23.066000128,4.4032006387,-3.5023179587,0.8224484562,-0.9787997949,3.0047957799,0.8737993474,nan,nan
23.100001024,4.1429407544,-3.3951223529,0.8643653543,-0.9980712156,2.7141364722,0.7064615459,nan,nan
23.133000448,3.6732495087,-3.4178754747,0.8822455012,-0.9290467296,3.2025697944,0.8916610515,nan,nan
23.165999872,3.6741344642,-3.3172145148,1.2576842984,-0.8373143387,2.9931738402,0.7525012846,nan,nan
23.200000768,4.0339402379,-3.3921636286,1.0347510075,-1.1166910638,2.9941113982,0.8818258608,nan,nan
23.233000192,4.1428174108,-3.5267850629,1.0398482012,-0.9338035389,2.8491781398,0.9195217053,nan,nan
23.265999616,4.2060167003,-3.6328950106,0.8004953849,-0.852510665,3.244780298,0.6786052198,nan,nan
23.300000512,3.836812637,-3.5766137788,1.7501109382,-0.9506045682,2.8708826338,0.8735636244,4.3275191915,2.12176617
23.332999936,3.2955843599,-3.4557256301,0.9419281193,-1.1371614094,4.0932847766,0.6984918415,nan,nan
23.36599936,3.8190606133,-3.4520034045,1.552269783,-1.1392720599,3.1340084205,0.6894991321,nan,nan
23.400000256,4.2647889338,-3.5992902453,1.3659226912,-0.8595733828,3.5034539908,0.5299372429,nan,nan
23.433999104,4.4602639257,-3.456886414,1.0690851012,-1.0723303523,2.7090769319,0.8182577916,nan,nan
23.465999104,nan,nan,1.3168163264,-1.0996616877,3.0540190659,0.7359126871,nan,nan
23.5,4.0916399446,-3.4631200452,1.016134105,-1.1352962115,3.3753450946,0.6290330233,nan,nan
23.532999424,4.40961976,-3.4786791912,1.0098650211,-1.2613152074,3.0386584642,0.6863943798,nan,nan
23.566000896,3.7238637178,-3.6231431652,1.3355531605,-1.2964568622,2.7079542888,0.6177697898,nan,nan
23.599999744,4.0215813102,-3.5136728596,1.0041186415,-0.9616340225,2.8502163782,0.6785783728,nan,nan
23.632999168,4.0515708084,-3.8257504421,1.303593563,-1.3431740748,2.4689687694,0.5687627945,nan,nan
23.66600064,3.9897185006,-3.5803286235,1.5672569986,-1.3419107672,2.7031363496,0.6343549993,nan,nan
23.699999488,3.5756553312,-3.7175330744,1.101382296,-1.2748575639,2.7793145717,0.5248983492,nan,nan
23.73300096,4.2476938441,-3.8578753659,0.6779315563,-1.2394567847,3.1209601536,0.429751777,nan,nan
